Evento,Check-in,Check-out,Alessio,Federico,Alessandro B,Alessandro S,Jean,Francesco M,Francesco N,Nicolò,Stefano,Roberto,Andrea,Maurizio,Giovanni,Antonio
Regionale Francoforte,25/09/2026,28/09/2026,,,,,,,,,,,,,,
Regionale Nizza,16/10/2026,19/10/2026,,,,,,,,,,,,,,
Regionale Danzica,30/10/2026,02/11/2026,,,,,,,,,,,,,,
Campionati Internazionali Latinoamericani 2027 (LAIC),19/11/2026,23/11/2026,,,,,,,,,,,,,,
Regionale Stoccarda,27/11/2026,30/11/2026,,,,,,,,,,,,,,
Regionale Birmingham,29/01/2027,01/02/2027,,,,,,,,,,,,,,
Campionati Internazionali Europei 2027 (EUIC),18/02/2027,22/02/2027,,,,,,,,,,,,,,
Speciale Lisbona,09/04/2027,12/04/2027,,,,,,,,,,,,,,
Regionale Praga,07/05/2027,10/05/2027,,,,,,,,,,,,,,
Speciale Bologna,04/06/2027,07/06/2027,,,,,,,,,,,,,,
Campionati Internazionali Nordamericani 2027 (NAIC),17/06/2027,21/06/2027,,,,,,,,,,,,,,
